id;photo;fish_name
1;tiszai_ingola.jpg;tiszai ingola
2;dunai_ingola.jpg;dunai ingola
3;vágótok.jpg;vágótok
4;sima_tok.jpg;sima tok
5;kecsege.jpg;kecsege
6;sőregtok.jpg;sőregtok
7;viza.jpg;viza
8;szibériai_tok.jpg;szibériai tok
9;angolna.jpg;angolna
10;dunai_hering.jpg;dunai hering
11;kövi_csík.jpg;kövi csík
12;vágó_csík.jpg;vágó csík
13;kőfúró_csík.jpg;kőfúró csík
14;lapos_keszeg.jpg;lapos keszeg
15;dévér_keszeg.jpg;dévér keszeg
16;bagolykeszeg.jpg;bagolykeszeg
17;karikakeszeg.jpg;karikakeszeg
18;sújtásos_küsz.jpg;sújtásos küsz
19;szélhajtó_küsz.jpg;szélhajtó küsz
20;állas_küsz.jpg;állas küsz
21;balin.jpg;balin
22;márna.jpg;márna
23;petényi_márna.jpg;petényi márna
24;ezüstkárász.jpg;ezüstkárász
25;aranykárász.jpg;aranykárász
26;paduc.jpg;paduc
27;amur.jpg;amur
28;ponty.jpg;ponty
29;fenékjáró_küllő.jpg;fenékjáró küllő
30;homoki_küllő.jpg;homoki küllő
31;felpillantó_küllő.jpg;felpillantó küllő
32;halványfoltú_küllő.jpg;halványfoltú küllő
33;fehér_busa.jpg;fehér busa
34;pettyes_busa.jpg;pettyes busa
35;kurta_baing.jpg;kurta baing
36;fejes_domolykó.jpg;fejes domolykó
37;jászkeszeg.jpg;jászkeszeg
38;nyúldomolykó.jpg;nyúldomolykó
39;vaskos_csabak.jpg;vaskos csabak
40;fekete_amur.jpg;fekete amur
41;garda.jpg;garda
42;fürge_cselle.jpg;fürge cselle
43;kínai_razbóra.jpg;kínai razbóra
44;szivárványos_ökle.jpg;szivárványos ökle
45;gyöngyös_koncér.jpg;gyöngyös koncér
46;leány_koncér.jpg;leány koncér
47;bodorka.jpg;bodorka
48;vörösszárnyú_keszeg.jpg;vörösszárnyú keszeg
49;compó.jpg;compó
50;szilvaorrú_keszeg.jpg;szilvaorrú keszeg
51;európai_harcsa.jpg;európai harcsa
52;afrikai_harcsa.jpg;afrikai harcsa
53;fekete_törpeharcsa.jpg;fekete törpeharcsa
54;törpeharcsa.jpg;törpeharcsa
55;pettyes_harcsa.jpg;pettyes harcsa
56;törpemaréna.jpg;törpemaréna
57;nagy_maréna.jpg;nagy maréna
58;dunai_galóca.jpg;dunai galóca
59;szivárványos_pisztráng.jpg;szivárványos pisztráng
60;sebes_pisztráng.jpg;sebes pisztráng
61;pataki_szajbling.jpg;pataki szajbling
62;pénzes_pér.jpg;pénzes pér
63;csuka.jpg;csuka
64;lápi_póc.jpg;lápi póc
65;menyhal.jpg;menyhal
66;szúnyogirtó_fogasponty.jpg;szúnyogirtó fogasponty
67;szivárványos_guppi.jpg;szivárványos guppi
68;tüskés_pikó.jpg;tüskés pikó
69;folyami_géb.jpg;folyami géb
70;csupasztorkú_géb.jpg;csupasztorkú géb
71;kessler_géb.jpg;kessler géb
72;feketeszájú_géb.jpg;feketeszájú géb
73;szirman_géb.jpg;szirman géb
74;tarka_géb.jpg;tarka géb
75;amurgéb.jpg;amurgéb
76;széles_durbincs.jpg;széles durbincs
77;vágó_durbincs.jpg;vágó durbincs
78;selymes_durbincs.jpg;selymes durbincs
79;csapósügér.jpg;csapósügér
80;fogassüllő.jpg;fogassüllő
81;kősüllő.jpg;kősüllő
82;német_bucó.jpg;német bucó
83;magyar_bucó.jpg;magyar bucó
84;naphal.jpg;naphal
85;pisztrángsügér.jpg;pisztrángsügér
86;botos_kölönte.jpg;botos kölönte
87;cifra_kölönte.jpg;cifra kölönte
