"name","county","latitude","longitude"
"Békéscsaba","Bekes County","46.68333","21.1"
"Budapest","Budapest","47.49835","19.04045"
"Debrecen","Hajdú-Bihar","47.53167","21.62444"
"Eger","Heves County","47.90265","20.37329"
"Győr","Győr-Moson-Sopron","47.68333","17.63512"
"Kaposvár","Somogy County","46.36667","17.8"
"Kecskemét","Bács-Kiskun","46.90618","19.69128"
"Miskolc","Borsod-Abaúj-Zemplén","48.10327","20.77806"
"Nyíregyháza","Szabolcs-Szatmár-Bereg","47.95539","21.71671"
"Pécs","Baranya","46.07617","18.22814"
"Salgótarján","Nógrád","48.09872","19.80303"
"Szeged","Csongrád","46.253","20.14824"
"Székesfehérvár","Fejér","47.18995","18.41034"
"Szekszárd","Tolna County","46.34723","18.71189"
"Szolnok","Jász-Nagykun-Szolnok","47.18066","20.19835"
"Szombathely","Vas County","47.23088","16.62155"
"Tatabánya","Komárom-Esztergom","47.59247","18.38099"
"Veszprém","Veszprém","47.09327","17.91149"
"Zalaegerszeg","Zala County","46.83695","16.84401"
